COUNTY_GEOID,State_Name,County_Name,n_commuters,is_bimodal,bic_improvement,mean_commute,median_commute,peak1_mean,peak1_sd,peak2_mean,peak2_sd,peak_distance,local_commuter_share,super_commuter_share,valley_depth
06001,California,Alameda County,602378,TRUE,184414.30612542015,30.126571687542945,25,19.56737050806354,9.328022481944735,45.9463228786117,0,26.378952370548163,0.5997111245667962,0.40028887543232833,5.655850941956262
06007,California,Butte County,80492,TRUE,65766.15476060018,20.933918898772692,15,11.175839032048033,5.194142118130948,38.498658669123536,0,27.322819637075504,0.642859704952625,0.3571402950475463,10.520628437062213
06013,California,Contra Costa County,439640,TRUE,137623.54587722896,34.37390819761799,30,16.067193444263886,7.737179730751706,48.20325060004324,0,32.136057155779355,0.4303372481413322,0.5696627518598067,8.306917578262636
06017,California,El Dorado County,68226,TRUE,46371.92725061253,31.518805147597167,24,23.84684362385918,15.295714646960423,98.16481363794422,0,74.31797001408503,0.8967684192355432,0.10323158076416623,9.717489078400604
06019,California,Fresno County,386544,TRUE,344297.8526228545,23.421468189907767,20,17.779483632805693,8.934115031185684,60.454328401370105,0,42.67484476856441,0.8677913279440822,0.13220867205684886,9.553233782999737
06023,California,Humboldt County,55203,TRUE,33796.11034159432,17.220096733873717,15,11.260871608248873,5.990542951830785,32.87915297229941,0,21.618281364050535,0.7243432525802769,0.2756567474199062,7.217469781247029
06025,California,Imperial County,58794,TRUE,49312.54044866632,23.966816341804144,15,16.456358602034673,9.726036844097138,62.68744136689413,0,46.23108276485945,0.8375452771030385,0.1624547228966836,9.506664123510435
06027,California,Inyo County,70432,TRUE,43208.365176570835,28.55244775102293,20,14.622023458832647,9.28127174377961,54.45612430803551,0,39.83410084920287,0.6502889736374453,0.3497110263623899,8.58375919784916
06029,California,Kern County,342007,TRUE,369961.99762054253,24.88889993479556,20,17.427627072471626,7.997218945797037,62.10972092655348,0,44.682093854081856,0.8330142520466771,0.16698574795340848,11.174408042827105
06031,California,Kings County,55748,TRUE,15578.031426456408,21.05917701083399,15,7.1896519003375134,3.0559609763853475,26.64636892438772,0,19.456717024050207,0.28716005411596107,0.7128399458837268,12.733616151776916
06037,California,Los Angeles County,3933598,TRUE,1547289.6820044294,30.21262137107017,25,21.785908683896395,10.903634746214346,53.27770550139392,0,31.491796817497523,0.732415627619115,0.2675843723919722,5.776385132202126
06039,California,Madera County,55789,TRUE,32052.77070552169,27.431267812650887,20,23.47582901452884,14.942142862459438,105.65608185397116,0,82.18025283944232,0.9518687438716205,0.04813125612847841,10.999794821385567
06041,California,Marin County,83527,TRUE,37313.49939936411,30.228381241994796,20,15.457581914065155,8.35250514850823,48.641621271722364,0,33.18403935765721,0.5548824189624504,0.44511758103762666,7.9458889920191025
06045,California,Mendocino County,51404,TRUE,47800.9661833609,27.092697066375578,15,12.849732911790081,7.832434150412666,58.253877100032014,0,45.40414418824193,0.6863069570143413,0.3136930429858786,11.593878305596665
06047,California,Merced County,104601,TRUE,97064.02581429866,28.084263056757504,15,14.83321618994505,8.939988052081445,64.61989974865895,0,49.786683558713904,0.733843551736231,0.26615644826364954,11.137975413092944
06053,California,Monterey County,191687,TRUE,126844.00611588266,27.7432846254581,20,18.259728496329554,8.537024464024887,52.63378400167928,0,34.37405550534973,0.7241071503005472,0.27589284969997624,8.052935926376309
06055,California,Napa County,55429,TRUE,33722.81949792424,24.025455988742472,15,10.856559599540727,4.74494050537226,37.627203926852495,0,26.770644327311768,0.5080844439828749,0.49191555601712894,11.28386933281959
06057,California,Nevada County,32622,TRUE,32469.93242832052,21.451137269327603,15,12.072441753218497,6.7629833223935405,49.265321679940946,0,37.19287992672245,0.747836265043417,0.25216373495648503,10.99895657100607
06059,California,Orange County,1304491,TRUE,647314.0761451479,26.592547591359352,20,20.085525618332813,9.854966752668481,51.636650131161126,0,31.551124512828313,0.7937625972780479,0.20623740273250077,6.403091010791091
06061,California,Placer County,153140,TRUE,113153.52505106991,27.577660963822822,20,20.915318288650596,12.508493362301508,79.30885381042725,0,58.393535521776656,0.8859061604048873,0.11409383959480565,9.336621738596422
06065,California,Riverside County,984015,TRUE,493873.572113201,33.31776243248355,25,20.49222672781533,10.578853161928182,59.039159587634714,0,38.546932859819385,0.6672748062360659,0.33272519376155135,7.287544740396705
06067,California,Sacramento County,601243,TRUE,477151.4121649135,26.501145127676548,20,20.874464619769455,10.677938718766796,70.13880442976524,0,49.26433980999579,0.8857859350257843,0.11421406497364091,9.227312706601742
06071,California,San Bernardino County,872112,TRUE,541183.6738290098,32.06385418386254,21,18.483687290392417,9.683103605687926,59.85846972895743,0,41.37478243856501,0.6717767177622447,0.328223282233085,8.545768820290462
06073,California,San Diego County,1354114,TRUE,803298.257117616,25.37078783616705,20,21.009103450908,10.59141351131596,60.03851400747119,0,39.02941055656319,0.8882462142356216,0.1117537857568325,7.370009775345628
06075,California,San Francisco County,271732,TRUE,83210.91323176213,29.833751637643005,28,22.552237594712587,10.277362477305383,48.90781582295276,0,26.355578228240176,0.7237201938880422,0.27627980611318625,5.128860305635602
06077,California,San Joaquin County,309290,TRUE,269354.8848801479,34.14553008503294,20,17.22582574448118,8.607532210097151,68.17716690465403,0,50.951341160172845,0.667924259591808,0.33207574040791155,11.838780248862472
06079,California,San Luis Obispo County,44339,TRUE,20851.524914969457,23.43898148356977,20,17.555162076683885,10.756914473907093,51.732023000575396,0,34.17686092389151,0.8278420180256721,0.17215798197449314,6.354398560441077
06081,California,San Mateo County,279506,TRUE,134894.66388703696,25.635582062638708,20,20.911594847071953,11.035375285439859,55.86635752364657,0,34.95476267657462,0.8648542615154615,0.13514573848606637,6.335038324014978
06083,California,Santa Barbara County,96840,TRUE,42665.634861739236,23.06911400247784,15,10.886506139049512,5.195261517728083,34.558824229085026,0,23.672318090035514,0.48536481230568335,0.5146351876942733,9.11304195534994
06085,California,Santa Clara County,729324,TRUE,355381.21265208255,25.476545403692633,20,18.98812061264728,8.539050686636068,46.27310831542413,0,27.284987702776853,0.7621979946844296,0.237802005323219,6.390637250925064
06087,California,Santa Cruz County,55350,TRUE,20718.86496238073,28.105492321588525,20,13.212583343810106,6.876107525899838,41.68264918654303,0,28.470065842732925,0.4768923591517412,0.523107640848197,8.280866968847235
06089,California,Shasta County,110965,TRUE,105825.70051367325,18.225647726761093,15,12.685200458659365,6.984690702565661,47.594735108893914,0,34.90953465023455,0.8412912883658963,0.15870871163434636,9.99601446558295
06095,California,Solano County,175701,TRUE,86550.76250765985,30.724748293975956,20,15.370316350197719,8.397075465871227,50.86187496819247,0,35.49155861799475,0.5673779190979561,0.43262208090180654,8.45331419545897
06097,California,Sonoma County,207528,TRUE,138354.57050899742,25.359840599823702,20,16.97857661597038,9.349855563445477,53.69098189931148,0,36.7124052833411,0.7717048523740141,0.22829514762570105,7.853042228133065
06099,California,Stanislaus County,221013,TRUE,219876.14503316022,30.562021238568168,20,18.312520221162046,10.562592986346337,79.48957079466572,0,61.17705057350368,0.7997696701195175,0.2002303298800358,11.58371825035458
06103,California,Tehama County,43870,TRUE,35282.69041143317,25.957396854342623,18,19.71956883369444,12.506538134928798,83.8651589027149,0,64.14559006902046,0.9027551541120278,0.09724484588798468,10.2579289931355
06107,California,Tulare County,176629,TRUE,100741.93722905242,24.346823001884395,20,14.93004180384041,7.794356349996064,44.516456370465335,0,29.586414566624924,0.6817194196741906,0.3182805803260769,7.591753119329697
06111,California,Ventura County,296388,TRUE,162523.45212108502,25.513269768005657,20,18.85162571758429,9.70663945672555,52.197541722650605,0,33.345916005066314,0.8002260891792387,0.19977391082444138,6.870743711812959
06113,California,Yolo County,89570,TRUE,72891.79957115045,24.62517584012483,20,17.34294007992902,9.189116855166644,60.87169244292881,0,43.528752362999796,0.8327028604103281,0.16729713958902967,9.473979501855057
06115,California,Yuba County,71586,TRUE,44748.291943849414,32.88771547509178,25,26.912523647195503,1,132.95826181274987,0,106.04573816555437,0.9436545783801235,0.056345421619604756,212.09147633110874
