GEOID,NAME,total_speakers,shannon_entropy,english_share,spanish_share,asian_share,foreign_share,median_income,total_population,immigrant_share,state,log_median_income,log_total_population,entropy_quartile,high_diversity
01001,"Autauga County, Alabama",52404,0.222800507001519,0.962178459659568,0.01955957560491565,0.01017097931455614,0.03782154034043206,57982,55639,0.0234188249249627,AL,10.967887896534048,10.926639673194344,2,FALSE
01003,"Baldwin County, Alabama",206329,0.2658330690628878,0.9500700337810004,0.03189081515443781,0.00459460376389164,0.0499299662189997,61756,218289,0.03421610800360989,AL,11.030946415761818,12.293575151896023,3,TRUE
01005,"Barbour County, Alabama",23694,0.3217401688155361,0.9283784924453448,0.05651219718072085,0.00485354942179454,0.07162150755465524,34990,25026,0.02553344521697434,AL,10.462817585361734,10.127670563425,3,TRUE
01007,"Bibb County, Alabama",21121,0.12095949574153668,0.9764689171914208,0.02026419203636191,0,0.02353108280857918,51721,22374,0.01582193617591847,AL,10.853619167579,10.015654849406875,1,FALSE
01009,"Blount County, Alabama",54250,0.29988844193314257,0.9215483870967742,0.07386175115207373,6.63594470046083e-4,0.07845161290322578,48922,57755,0.0435286988139555,AL,10.797982472039823,10.96396520472278,3,TRUE
01011,"Bullock County, Alabama",9579,0.287572758074135,0.9258795281344608,0.06900511535650904,0,0.07412047186553916,33866,10173,0.01503981126511353,AL,10.430166840225288,9.227492430793747,3,TRUE
01013,"Butler County, Alabama",18565,0.12078726112671388,0.9820630218152436,0.00570966873148397,0.00527875033665499,0.01793697818475625,44850,19726,0.01865558146608537,AL,10.71107886748694,9.88969284151394,1,FALSE
01015,"Calhoun County, Alabama",107662,0.2069492942032102,0.9616020508628856,0.02749345172855789,0.00570303356801842,0.03839794913711425,50128,114324,0.02488541338651551,AL,10.822335013191973,11.64679180149478,2,FALSE
01017,"Chambers County, Alabama",31443,0.1653342842105189,0.9721718665521738,0.01323028973062366,0.00842794898705594,0.02782813344782619,43875,33427,0.01857779639213809,AL,10.689099960768168,10.41711923563258,1,FALSE
01019,"Cherokee County, Alabama",24907,0.15053868270205428,0.9726582888344644,0.02156020395872646,0.00204761713574497,0.02734171116553574,42509,26035,0.01932014595736508,AL,10.65747109719941,10.167197065597,1,FALSE
01021,"Chilton County, Alabama",41400,0.31511752940533294,0.9212077294685992,0.07067632850241545,0.0038647342995169,0.07879227053140092,52141,44147,0.04394409586155345,AL,10.86170686643668,10.695280253553513,3,TRUE
01023,"Choctaw County, Alabama",12084,0.15224229102795,0.9735187024164184,0.01117179741807348,0,0.02648129758358164,36634,12755,0.00885927087416699,AL,10.508732049920162,9.453678630575912,1,FALSE
01025,"Clarke County, Alabama",22516,0.04158844283488573,0.9946260437022562,0.00262035885592467,0.00239829454610055,0.00537395629774384,37345,23866,0.00310064526942093,AL,10.527954312791168,10.0802101309296,1,FALSE
01027,"Clay County, Alabama",12563,0.1114368973493418,0.9768367428162064,0.02292446071798137,0,0.02316325718379364,42678,13285,0.01385020700037636,AL,10.66143884396157,9.494390858193912,1,FALSE
01029,"Cleburne County, Alabama",14064,0.1178979155734335,0.9773890784982936,0.01976678043230944,0,0.02261092150170651,46320,14952,0.01444622792937399,AL,10.743329112246878,9.612600349135398,1,FALSE
01031,"Coffee County, Alabama",49013,0.3360129017412396,0.9314059535225347,0.04519209189398731,0.01336380144043417,0.06859404647746514,56799,52238,0.03568283624947356,AL,10.947273998920458,10.863565478378224,3,TRUE
01033,"Colbert County, Alabama",51868,0.14409465964599014,0.9760160407187476,0.01523097092619727,0.00339322896583635,0.02398395928125241,47962,54957,0.01559400986225594,AL,10.77816430968982,10.91430634025357,1,FALSE
01035,"Conecuh County, Alabama",11765,0.03471304822417374,0.9953251168720784,0.0011049723756906,0.00212494687632809,0.00467488312792174,35444,12219,0.01039364923479826,AL,10.475709265167191,9.410747396316522,1,FALSE
01037,"Coosa County, Alabama",10232,0.07951663603107827,0.9871970289288506,0.00762314308053166,0,0.01280297107114936,43571,10696,0.00532909498878085,AL,10.682147070420289,9.27762511878178,1,FALSE
01039,"Covington County, Alabama",34957,0.11393280214788327,0.9814629401836542,0.01221500700861058,0.00417655977343593,0.01853705981634579,42566,37096,0.00754798361009273,AL,10.658811091522749,10.521264426071296,1,FALSE
01041,"Crenshaw County, Alabama",13090,0.16788589705942797,0.9723453017570663,0.01038961038961039,0.01375095492742551,0.02765469824293354,42611,13826,0.01692463474613047,AL,10.659867714887898,9.53430615650521,1,FALSE
01043,"Cullman County, Alabama",78182,0.18296258499301257,0.9628175283313296,0.03228364585198639,0.0019058095213732,0.0371824716686705,48388,83345,0.02534045233667286,AL,10.78700712807974,11.330743898377188,2,FALSE
01045,"Dale County, Alabama",46033,0.30918056878031647,0.9380444463754264,0.04142680251124193,0.00881975973757956,0.06195555362457372,45644,49293,0.02998397338364473,AL,10.72862744255457,10.80553736211994,3,TRUE
01047,"Dallas County, Alabama",35798,0.06909384759973473,0.9906419353036484,0.00248617241186658,0.00363148779261411,0.00935806469635169,33317,38184,0.00908757594804106,AL,10.413823056212888,10.550171858685731,1,FALSE
01049,"DeKalb County, Alabama",67152,0.4117681328621426,0.8697283774124375,0.1262360019061234,0.00159340004765308,0.13027162258756253,42267,71430,0.07173456530869382,AL,10.651761918721386,11.176473228149018,3,TRUE
01051,"Elmore County, Alabama",76825,0.19742069167115472,0.9663260657338106,0.01995444191343963,0.00708102831109664,0.03367393426618936,62324,81526,0.02034933640801707,AL,11.040101863337243,11.30867726675831,2,FALSE
01053,"Escambia County, Alabama",34645,0.10653946377557393,0.9821041997402222,0.0130754798672247,0.00259777745706451,0.01789580025977777,35558,36775,0.00837525492861998,AL,10.478920445076517,10.51257354546964,1,FALSE
01055,"Etowah County, Alabama",96739,0.2395169449404793,0.9558606146435252,0.02986386049059841,0.00458966910966621,0.04413938535647466,44934,102721,0.02733618247485908,AL,10.712950025477422,11.539771854078891,2,FALSE
01057,"Fayette County, Alabama",15484,0.09750477477640387,0.9860501162490312,0.00471454404546628,0.00484370963575303,0.01394988375096872,41469,16406,0.00999634280141411,AL,10.632701439132466,9.705402400562695,1,FALSE
01059,"Franklin County, Alabama",29292,0.5161414764010593,0.8373275979789704,0.1473439847057217,0.00716919295370749,0.16267240202102962,41174,31587,0.09139836008484505,AL,10.625562268169254,10.360500922524867,4,TRUE
01061,"Geneva County, Alabama",24935,0.13384896149205278,0.9738119109685182,0.02338079005414076,0.00188490074192901,0.02618808903148184,41569,26383,0.01644998673388166,AL,10.63510997614786,10.180475142322448,1,FALSE
01063,"Greene County, Alabama",7725,0.04785456634494969,0.9924919093851132,0.006084142394822,0,0.00750809061488677,26688,8221,0.00790658070794307,AL,10.191969305158471,9.014447135152134,1,FALSE
01065,"Hale County, Alabama",13768,0.08522167596705148,0.9866356769320164,0.00893375944218477,5.810575246949448e-4,0.01336432306798374,30793,14754,0.00257557272604039,AL,10.335042670404032,9.599269511444248,1,FALSE
01067,"Henry County, Alabama",16258,0.14632398810402492,0.9736744987083282,0.01949809324640177,6.15081805880182e-4,0.02632550129167177,51715,17123,0.00905215207615488,AL,10.853503153811904,9.748177867988971,1,FALSE
01069,"Houston County, Alabama",98813,0.2262235081122232,0.9608452329146976,0.02301316628378857,0.00635543906166192,0.03915476708530252,49069,105319,0.02403175115601173,AL,10.800982749825955,11.5647491186924,2,FALSE
01071,"Jackson County, Alabama",49112,0.11785614725345071,0.979638377585926,0.01584134223814953,0.00254520280175924,0.02036162241407391,42578,51765,0.01495218777166038,AL,10.659092966935685,10.854469524200214,1,FALSE
