GEOID,NAME,stability_index,stability_percentile
27017,"Carlton County, Minnesota",-0.6162417986701901,1.2569832402234637
19095,"Iowa County, Iowa",-0.7893380324066224,0.06983240223463687
33001,"Belknap County, New Hampshire",-0.47991722743415927,7.332402234636872
25011,"Franklin County, Massachusetts",-0.44166422609037403,9.986033519553072
17057,"Fulton County, Illinois",-0.5237242294478086,4.504189944134078
51740,"Portsmouth city, Virginia",-0.48817835086951067,6.843575418994413
31177,"Washington County, Nebraska",-0.5362712331997919,4.085195530726257
20031,"Coffey County, Kansas",-0.801858505203253,0.034916201117318434
17053,"Ford County, Illinois",-0.4772079655141507,7.681564245810056
40127,"Pushmataha County, Oklahoma",-0.4447131047243621,9.671787709497206
54041,"Lewis County, West Virginia",-0.4661832762602144,8.240223463687151
37157,"Rockingham County, North Carolina",-0.44429189443218287,9.741620111731844
18045,"Fountain County, Indiana",-0.6143025630086927,1.291899441340782
36037,"Genesee County, New York",-0.5078074381475564,5.307262569832402
27091,"Martin County, Minnesota",-0.4591213464715549,8.519553072625698
36009,"Cattaraugus County, New York",-0.538255504075019,4.050279329608938
19081,"Hancock County, Iowa",-0.5469565920760739,3.6312849162011176
42117,"Tioga County, Pennsylvania",-0.49854142243396604,6.075418994413408
42119,"Union County, Pennsylvania",-0.49478050250750977,6.424581005586592
42021,"Cambria County, Pennsylvania",-0.44808581519272994,9.287709497206704
42085,"Mercer County, Pennsylvania",-0.5811473487295369,2.339385474860335
16007,"Bear Lake County, Idaho",-0.5068527419464218,5.481843575418995
39033,"Crawford County, Ohio",-0.6681224616079936,0.7332402234636871
34033,"Salem County, New Jersey",-0.46997518025525853,8.030726256983241
54091,"Taylor County, West Virginia",-0.4944435972284478,6.459497206703911
26007,"Alpena County, Michigan",-0.6113750138518405,1.431564245810056
20051,"Ellis County, Kansas",-0.5099230084594991,5.13268156424581
18009,"Blackford County, Indiana",-0.4482953291073868,9.252793296089386
01071,"Jackson County, Alabama",-0.5475443332578982,3.596368715083799
31067,"Gage County, Nebraska",-0.4574028312979921,8.659217877094973
40019,"Carter County, Oklahoma",-0.4570720601648834,8.72905027932961
21153,"Magoffin County, Kentucky",-0.4506047532700302,9.043296089385475
29137,"Monroe County, Missouri",-0.44312490952335826,9.881284916201118
40111,"Okmulgee County, Oklahoma",-0.4612505522814759,8.414804469273744
40119,"Payne County, Oklahoma",-0.5686197313718455,2.89804469273743
42015,"Bradford County, Pennsylvania",-0.6898568853599686,0.38407821229050276
19107,"Keokuk County, Iowa",-0.5569731706362314,3.212290502793296
05083,"Logan County, Arkansas",-0.46234252022730715,8.379888268156424
42013,"Blair County, Pennsylvania",-0.578289191669929,2.479050279329609
31081,"Hamilton County, Nebraska",-0.5484116060858611,3.5265363128491622
18137,"Ripley County, Indiana",-0.6029160984639165,1.5712290502793298
21191,"Pendleton County, Kentucky",-0.4780556579619621,7.646648044692737
19031,"Cedar County, Iowa",-0.7540555406749695,0.13966480446927373
40147,"Washington County, Oklahoma",-0.5062830330851049,5.516759776536313
55137,"Waushara County, Wisconsin",-0.44296973039642185,9.951117318435754
17129,"Menard County, Illinois",-0.6886351780126159,0.41899441340782123
19033,"Cerro Gordo County, Iowa",-0.46327783987002746,8.344972067039107
39007,"Ashtabula County, Ohio",-0.5232817092302281,4.539106145251397
40097,"Mayes County, Oklahoma",-0.44920377112822024,9.182960893854748
55065,"Lafayette County, Wisconsin",-0.5553189623767422,3.282122905027933
55099,"Price County, Wisconsin",-0.6254673916011548,1.0824022346368716
29217,"Vernon County, Missouri",-0.4480232348293691,9.322625698324021
18171,"Warren County, Indiana",-0.49861807379714934,6.040502793296089
20139,"Osage County, Kansas",-0.4981475327802497,6.145251396648044
21071,"Floyd County, Kentucky",-0.48730657579733155,6.91340782122905
19065,"Fayette County, Iowa",-0.72609175306751494,0.17458100558659218
40125,"Pottawatomie County, Oklahoma",-0.621788276384678,1.1522346368715084
42123,"Warren County, Pennsylvania",-0.5232455994127461,4.574022346368714
17157,"Randolph County, Illinois",-0.49507576318356433,6.354748603351955
27073,"Lac qui Parle County, Minnesota",-0.44433980203944246,9.706703910614525
27085,"McLeod County, Minnesota",-0.5795736889610483,2.3743016759776534
19027,"Carroll County, Iowa",-0.47695051225863333,7.751396648044692
36007,"Broome County, New York",-0.47945372751849596,7.437150837988826
38077,"Richland County, North Dakota",-0.5467443485276753,3.7011173184357546
20087,"Jefferson County, Kansas",-0.5152246933082761,4.923184357541899
28101,"Newton County, Mississippi",-0.500887454560814,5.831005586592179
21019,"Boyd County, Kentucky",-0.49955495594588295,5.935754189944134
54049,"Marion County, West Virginia",-0.5053536855687556,5.58659217877095
27089,"Marshall County, Minnesota",-0.4430928350473234,9.916201117318437
39011,"Auglaize County, Ohio",-0.44958373001188207,9.148044692737429
20161,"Riley County, Kansas",-0.5907909652728256,1.8505586592178773
18077,"Jefferson County, Indiana",-0.5278165944628938,4.259776536312849
18069,"Huntington County, Indiana",-0.4545336154370237,8.833798882681563
29163,"Pike County, Missouri",-0.5502947462814981,3.456703910614525
36011,"Cayuga County, New York",-0.5857996851587277,2.094972067039106
39087,"Lawrence County, Ohio",-0.5575781767476469,3.1773743016759775
17167,"Sangamon County, Illinois",-0.6544680949318636,0.803072625698324
53043,"Lincoln County, Washington",-0.445034592602655,9.636871508379889
30041,"Hill County, Montana",-0.5884007136472506,1.920391061452514
27005,"Becker County, Minnesota",-0.468722247711982,8.100558659217876
18129,"Posey County, Indiana",-0.5753657449515646,2.6885474860335195
56033,"Sheridan County, Wyoming",-0.7154819682024863,0.24441340782122906
54083,"Randolph County, West Virginia",-0.5662054485577757,2.9329608938547485
19007,"Appanoose County, Iowa",-0.5173279788315359,4.818435754189944
22017,"Caddo Parish, Louisiana",-0.4587417259923769,8.589385474860336
39059,"Guernsey County, Ohio",-0.4892529633141989,6.70391061452514
19045,"Clinton County, Iowa",-0.7610185764902114,0.10474860335195531
19029,"Cass County, Iowa",-0.47696503907953475,7.716480446927375
17191,"Wayne County, Illinois",-0.6194912474709029,1.1871508379888267
54011,"Cabell County, West Virginia",-0.5463485108500217,3.7360335195530725
27057,"Hubbard County, Minnesota",-0.443420326033106,9.811452513966481
39143,"Sandusky County, Ohio",-0.44834817953229905,9.217877094972067
39145,"Scioto County, Ohio",-0.6380979733851471,0.9078212290502794
18015,"Carroll County, Indiana",-0.486126546980697,6.983240223463687
39081,"Jefferson County, Ohio",-0.6006987113417742,1.675977653631285
56013,"Fremont County, Wyoming",-0.6758685310132324,0.6634078212290503
19129,"Mills County, Iowa",-0.44547660432883834,9.601955307262571
36015,"Chemung County, New York",-0.6524387917981774,0.8379888268156425
18053,"Grant County, Indiana",-0.5929835781440462,1.8156424581005588
27121,"Pope County, Minnesota",-0.5794893857904317,2.409217877094972
55135,"Waupaca County, Wisconsin",-0.5457522269673301,3.7709497206703912
51023,"Botetourt County, Virginia",-0.6069392935748399,1.5013966480446927
19083,"Hardin County, Iowa",-0.5060450238305797,5.551675977653631
17195,"Whiteside County, Illinois",-0.5360664641272643,4.120111731843576
39013,"Belmont County, Ohio",-0.60791180195822625,1.4664804469273742
54069,"Ohio County, West Virginia",-0.6141941684541785,1.3268156424581006
18051,"Gibson County, Indiana",-0.5209651607412712,4.643854748603352
18167,"Vigo County, Indiana",-0.6837275487980192,0.4539106145251397
29161,"Phelps County, Missouri",-0.49737175032898506,6.215083798882681
54039,"Kanawha County, West Virginia",-0.49081316549180054,6.634078212290503
42125,"Washington County, Pennsylvania",-0.5757377068047297,2.653631284916201
19041,"Clay County, Iowa",-0.4706115982737452,7.995810055865922
30043,"Jefferson County, Montana",-0.48262273499487107,7.227653631284917
50023,"Washington County, Vermont",-0.4805607086591585,7.297486033519553
27095,"Mille Lacs County, Minnesota",-0.4518307621828696,8.973463687150838
29105,"Laclede County, Missouri",-0.5593234131515139,3.1424581005586596
17131,"Mercer County, Illinois",-0.538962700007396,4.015363128491621
19011,"Benton County, Iowa",-0.5837927195330501,2.1997206703910615
42109,"Snyder County, Pennsylvania",-0.5831602674418876,2.2346368715083798
47001,"Anderson County, Tennessee",-0.4890051480368448,6.773743016759777
42057,"Fulton County, Pennsylvania",-0.4604209630238991,8.48463687150838
19145,"Page County, Iowa",-0.5766779480054517,2.548882681564246
22083,"Richland Parish, Louisiana",-0.5251445748439156,4.364525139664805
39149,"Shelby County, Ohio",-0.49214072888946087,6.564245810055866
39101,"Marion County, Ohio",-0.5171550699753594,4.888268156424581
40121,"Pittsburg County, Oklahoma",-0.5252616584959506,4.294692737430168
26017,"Bay County, Michigan",-0.4959738764171179,6.284916201117319
29049,"Clinton County, Missouri",-0.5023900760747846,5.6913407821229045
55019,"Clark County, Wisconsin",-0.45377439803386166,8.868715083798882
17119,"Madison County, Illinois",-0.4637126660277572,8.310055865921788
51009,"Amherst County, Virginia",-0.5448726084348289,3.805865921787709
39129,"Pickaway County, Ohio",-0.5865701830368912,2.060055865921788
36099,"Seneca County, New York",-0.5481564451051526,3.56145251396648
27111,"Otter Tail County, Minnesota",-0.514003410645802,4.958100558659218
19191,"Winneshiek County, Iowa",-0.4574556507767574,8.624301675977653
17185,"Wabash County, Illinois",-0.5102579849877267,5.097765363128492
55123,"Vernon County, Wisconsin",-0.5403661609381586,3.840782122905028
55043,"Grant County, Wisconsin",-0.5557516401863034,3.247206703910614
17025,"Clay County, Illinois",-0.4671232764979952,8.205307262569832
51005,"Alleghany County, Virginia",-0.46845165849925025,8.135474860335195
42037,"Columbia County, Pennsylvania",-0.6255680201349575,1.047486033519553
27081,"Lincoln County, Minnesota",-0.6991892738203046,0.31424581005586594
29061,"Daviess County, Missouri",-0.5762919279261502,2.583798882681564
01045,"Dale County, Alabama",-0.5132545384943682,5.027932960893855
56001,"Albany County, Wyoming",-0.4431854286083107,9.846368715083798
42127,"Wayne County, Pennsylvania",-0.5181721148536463,4.783519553072626
55141,"Wood County, Wisconsin",-0.5655988881863088,3.0027932960893855
50021,"Rutland County, Vermont",-0.4758807605523092,7.856145251396648
42047,"Elk County, Pennsylvania",-0.5882636907737621,1.9553072625698324
29051,"Cole County, Missouri",-0.4879529513227906,6.878491620111732
39141,"Ross County, Ohio",-0.46909998804223085,8.065642458100559
40117,"Pawnee County, Oklahoma",-0.4725970387345122,7.925977653631285
36107,"Tioga County, New York",-0.630969880215091,1.0125698324022345
17145,"Perry County, Illinois",-0.45020252197917177,9.078212290502794
42063,"Indiana County, Pennsylvania",-0.6124144414538428,1.3617318435754189
13179,"Liberty County, Georgia",-0.4535459719353974,8.903631284916202
42065,"Jefferson County, Pennsylvania",-0.7255795027062187,0.20949720670391062
01007,"Bibb County, Alabama",-0.5216242839380548,4.608938547486034
29023,"Butler County, Missouri",-0.6781496321626944,0.5935754189944134
01065,"Hale County, Alabama",-0.47940421341523265,7.472067039106145
20155,"Reno County, Kansas",-0.5708939816496608,2.8282122905027935
17115,"Macon County, Illinois",-0.49500018069137924,6.389664804469273
17147,"Piatt County, Illinois",-0.6120916735487218,1.3966480446927374
26041,"Delta County, Michigan",-0.46777861682454697,8.170391061452515
18165,"Vermillion County, Indiana",-0.562972250620466,3.072625698324022
19123,"Mahaska County, Iowa",-0.5824449736712572,2.304469273743017
54097,"Upshur County, West Virginia",-0.6777627414589246,0.6284916201117319
55021,"Columbia County, Wisconsin",-0.47166557286879807,7.960893854748603
39155,"Trumbull County, Ohio",-0.698583674980896,0.34916201117318435
