GEOID,NAME,county_name,state_name,pop_change_abs,age_change_abs,white_change_abs,black_change_abs,hispanic_change_abs,foreign_change_abs,housing_change_abs,ownership_change_abs,real_income_change_abs,poverty_change_abs,unemployment_change_abs,college_change_abs,hs_change_abs,pop_change_abs_z,age_change_abs_z,white_change_abs_z,black_change_abs_z,hispanic_change_abs_z,foreign_change_abs_z,housing_change_abs_z,ownership_change_abs_z,real_income_change_abs_z,poverty_change_abs_z,unemployment_change_abs_z,college_change_abs_z,hs_change_abs_z,stability_index,stability_rank,stability_percentile
19157,"Poweshiek County, Iowa",Poweshiek County,Iowa,0.8366640021316281,0.3999999999999986,2.4623330856667422,0.10581503269725845,0.7534846298942504,0.09590579184688908,0.13401831583649765,0.7326711475147505,1.5256534365924495,0.5587516512478761,1.1448003379366307,0.44973407929272113,0.18275573283602853,-0.8967548826100185,-0.900313254923912,-0.4426508828631181,-0.6299811752769616,-0.49014866028295084,-0.7285258663432305,-0.9508033034313716,-0.7836620608374217,-1.4936168241030356,-1.07834076502288,-1.1272705003938668,-1.2577907676712672,-0.5451000778866814,-0.8711506939728243,1,0
20031,"Coffey County, Kansas",Coffey County,Kansas,1.8721299894030379,0.20000000000000284,2.3196166207091977,0.07343531203480402,1.1248411324550762,0.17199189236178658,0.4008016032064128,0.34754679670524524,0.20648967551622377,2.631947054654802,1.0877595781921912,0.17018303758558062,0.2806044032814867,-0.7122165514638022,-1.0641157236707812,-0.46709971110107046,-0.6560674009981963,-0.19140133728523204,-0.6525054622884758,-0.9014883103723905,-0.9462541152420536,-1.6163768432297463,-0.25863436371254206,-1.149964745967995,-1.4325177306131596,-0.3755182716968434,-0.801858505203253,2,0.034916201117318434
19095,"Iowa County, Iowa",Iowa County,Iowa,1.5873988722726158,0.09999999999999432,3.0610244059907217,0.004214279296118839,1.5529199516191716,0.06713228222248602,1.2969094922737308,0.8388768113795777,0.81396341775827,0.598040542110283,0.5023684175469065,1.895105951503556,1.2665046151028037e-4,-0.7629606665062537,-1.1460169580442248,-0.34008877650413416,-0.7118342651877357,0.15297771727663317,-0.7572745315122675,-0.7358424231614044,-0.738824083075451,-1.5598459632760944,-1.062806602016646,-1.3828685645028294,-0.35439425013081644,-0.8616150546448662,-0.7893380324066224,3,0.06983240223463687
19045,"Clinton County, Iowa",Clinton County,Iowa,4.469514826459528,0.29999999999999716,2.246213066250604,0.13302654117196022,0.6461520076266307,0.12218620597269725,0.8592960205863432,0.782599687147254,2.5300407229834114,1.8323956241361383,1.0398706976515184,1.1650116268445299,0.05804223478122594,-0.24931668892176423,-0.9822144892973496,-0.479674510340578,-0.608058640500142,-0.5764951584636974,-0.7022681440122109,-0.8167354413543192,-0.7625831967894633,-1.4001495790754832,-0.5747634775895832,-1.169017823453802,-0.8107229521444679,-0.7612413924298871,-0.7610185764902114,4,0.10474860335195531
19031,"Cedar County, Iowa",Cedar County,Iowa,0.24411413692090705,1.3999999999999986,0.9840119896470867,0.2754737566242808,0.7047647687107981,0.408741278516759,1.8350898946063237,1.3299598288596002,8.970036197881754,0.19940633552673503,0.5157969296986735,0.00520948837826829,0.2190059485285616,-1.0023577363889713,-0.08130091118954806,-0.6959028013987821,-0.4932982244240597,-0.529342610045532,-0.4159604971316374,-0.6363595692421806,-0.5314983283485134,-0.8008502418730509,-1.22041982572958,-1.3775258945623736,-1.5356306614135968,-0.482274727026778,-0.7540555406749695,5,0.13966480446927373
19065,"Fayette County, Iowa",Fayette County,Iowa,5.673416131058812,0.3999999999999986,3.328549662192117,0.08632885477971086,0.871810813660078,0.30339187245948596,2.3769633507853403,0.052086950482674865,3.3259247848953635,1.0201986619591583,1.3607949965414927,0.1022174376958418,0.3227318255536886,-0.03476020870270735,-0.900313254923912,-0.29425889247409015,-0.6456799158837854,-0.3949581078170301,-0.5212189393596528,-0.5361940529020899,-1.0709915495030364,-1.3260854290845483,-0.895892420827263,-1.0413348318116022,-1.474998069018404,-0.30250711756957127,-0.72609175306751494,6,0.17458100558659218
42065,"Jefferson County, Pennsylvania",Jefferson County,Pennsylvania,1.3552909758540113,0.30000000000000426,1.2581999594625728,0.01638386551634452,0.2714815934727537,0.19191818835451735,1.592186245651592,0.3458027081769188,13.838515190920916,0.7644475670686148,2.2107712671477167,1.6240948735606917,0.16000922242919557,-0.804326393992695,-0.9822144892973438,-0.6489315246023322,-0.7020300245525488,-0.8779084431727315,-0.6325963716341921,-0.6812604019753582,-0.9469904356961825,-0.34779460773716037,-0.9970120785688337,-0.70316314013458725,-0.5237835047134282,-0.5845221191034481,-0.7255795027062187,7,0.20949720670391062
56033,"Sheridan County, Wyoming",Sheridan County,Wyoming,5.402664142267902,0.3999999999999986,0.3435551980503817,0.4953365650731851,0.6509876947879603,0.6561841774881643,6.052464116524075,0.9026651939821164,2.999196643756136,0.31258271185133957,0.9348403358821162,0.16060777268236137,0.09068156685320616,-0.08301299612420024,-0.900313254923912,-0.8056197713099691,-0.3161691222711459,-0.5726049651202672,-0.16873125246029355,0.14322367426370103,-0.7118938613102074,-1.3564904129379278,-1.1756718005323732,-1.2108052195791965,-1.4385025301892467,-0.7046740741372834,-0.7154819682024863,8,0.24441340782122906
19019,"Buchanan County, Iowa",Buchanan County,Iowa,1.5085692461927722,0.7000000000000028,0.9421593893358704,0.24084919565574092,0.5244235495342731,0.44350676482558904,0.8566978193146416,1.5811339330632137,10.322912418207931,0.3801527534772866,1.5283109906439338,1.1848735793357736,0.07763826429507503,-0.7770094984529098,-0.6546095518035994,-0.7030725910696866,-0.5211929713349344,-0.6744227583224754,-0.3812250290438777,-0.8172157198565558,-0.42545747808841433,-0.6749529760568497,-1.148955748795728,-0.9746868922542123,-0.7983086945702578,-0.7272794585172516,-0.7137222590897502,9,0.27932960893854747
27081,"Lincoln County, Minnesota",Lincoln County,Minnesota,3.28122315753307,2.1999999999999957,1.327846777591887,0.3211591033017893,0.6054058573371417,0.11062414733449621,1.6382910375843238,1.0746824120949299,11.81466552664794,0.546069755335763,0.06411227493074767,0.06373118438634151,0.036885514250997176,-0.46109125630903935,0.5739089637979408,-0.637000293722489,-0.4564925250171394,-0.6092744507004173,-0.7138202194035462,-0.6727379134920528,-0.6392715178329803,-0.53613197025919,-1.0833549721944895,-1.5572332218016096,-1.4990530183926438,-0.7979081643363045,-0.6991892738203046,10,0.31424581005586594
39155,"Trumbull County, Ohio",Trumbull County,Ohio,2.8165282568064893,0.6000000000000014,2.0613180600635275,0.4888769942350022,0.5239683982933778,0.22674145425438108,1.2776751323082705,0.4281771893065667,3.8536991625410657,0.14116731796730164,3.8060828201456705,1.3533857102489826,0.057380004386303085,-0.5439080967715765,-0.7365107861770369,-0.5113489653494498,-0.32137317652176,-0.6747889164854236,-0.5978031738451234,-0.7393979019829671,-0.9122135225011769,-1.2769712898047396,-1.2434465483535266,-0.06845223668262708,-0.6929840544847564,-0.7623891057914848,-0.698583674980896,11,0.34916201117318435
42015,"Bradford County, Pennsylvania",Bradford County,Pennsylvania,3.7609982402815554,0.10000000000000142,2.025401655909917,0.23961173609286956,0.2335137806000045,0.4927787095546454,2.124193870088425,2.517306441729417,5.263331818745094,0.042347289984936864,1.186817753754517,1.5438371259113879,0.24314301669616611,-0.3755868610084755,-1.1460169580442188,-0.5175018223189503,-0.5221899116672638,-0.9084526301671528,-0.33199562812152383,-0.5829185884192137,-0.030223546135703373,-1.145792328599753,-1.2825183162060392,-1.1105534447790117,-0.573946767971844,-0.44044270624044335,-0.6898568853599686,12,0.38407821229050276
17129,"Menard County, Illinois",Menard County,Illinois,2.9546531837573076,0.09999999999999432,1.4491718845077912,0.0911024539112496,0.13424839497973862,0.5914572271483562,0.9542321965011487,0.8970571201855932,21.43592992048542,1.757413537745066,0.9191682133819752,0.5187140063344806,0.14137059453888412,-0.5192917947176917,-1.1460169580442248,-0.6162160296165882,-0.6418341389005269,-0.9883092316158735,-0.23340231438573425,-0.7991864528009499,-0.7142614816331314,0.35921297163569266,-0.6044101264763032,-1.2170405326830107,-1.2146764473583909,-0.6168247775672762,-0.6886351780126159,13,0.41899441340782123
18167,"Vigo County, Indiana",Vigo County,Indiana,1.763282346855834,0.5,1.827180167648109,0.4110813864063978,0.38593624168083407,0.4615717988733872,1.5641563723687344,0.906447135143047,8.20643594414086,0.14837413899670437,2.076149797603575,1.7831081554177608,0.17211012686865956,-0.7316151242337217,-0.8184120205504745,-0.5514592435669186,-0.38404801572414976,-0.785832447408502,-0.3631755932299392,-0.6864417348092684,-0.71029719887715,-0.8719100939705013,-1.2405970931978807,-0.7567236590174479,-0.4243959022325353,-0.5635500075557619,-0.6837275487980192,14,0.4539106145251397
