NAME,county_name,state_name,stability_index,stability_percentile,pop_change_abs,age_change_abs,white_change_abs,hispanic_change_abs,real_income_change_abs,poverty_change_abs
"Poweshiek County, Iowa",Poweshiek County,Iowa,-0.8711506939728243,0,0.8366640021316281,0.3999999999999986,2.4623330856667422,0.7534846298942504,1.5256534365924495,0.5587516512478761
"Coffey County, Kansas",Coffey County,Kansas,-0.801858505203253,0.034916201117318434,1.8721299894030379,0.20000000000000284,2.3196166207091977,1.1248411324550762,0.20648967551622377,2.631947054654802
"Iowa County, Iowa",Iowa County,Iowa,-0.7893380324066224,0.06983240223463687,1.5873988722726158,0.09999999999999432,3.0610244059907217,1.5529199516191716,0.81396341775827,0.598040542110283
"Clinton County, Iowa",Clinton County,Iowa,-0.7610185764902114,0.10474860335195531,4.469514826459528,0.29999999999999716,2.246213066250604,0.6461520076266307,2.5300407229834114,1.8323956241361383
"Cedar County, Iowa",Cedar County,Iowa,-0.7540555406749695,0.13966480446927373,0.24411413692090705,1.3999999999999986,0.9840119896470867,0.7047647687107981,8.970036197881754,0.19940633552673503
"Fayette County, Iowa",Fayette County,Iowa,-0.72609175306751494,0.17458100558659218,5.673416131058812,0.3999999999999986,3.328549662192117,0.871810813660078,3.3259247848953635,1.0201986619591583
"Jefferson County, Pennsylvania",Jefferson County,Pennsylvania,-0.7255795027062187,0.20949720670391062,1.3552909758540113,0.30000000000000426,1.2581999594625728,0.2714815934727537,13.838515190920916,0.7644475670686148
"Sheridan County, Wyoming",Sheridan County,Wyoming,-0.7154819682024863,0.24441340782122906,5.402664142267902,0.3999999999999986,0.3435551980503817,0.6509876947879603,2.999196643756136,0.31258271185133957
"Buchanan County, Iowa",Buchanan County,Iowa,-0.7137222590897502,0.27932960893854747,1.5085692461927722,0.7000000000000028,0.9421593893358704,0.5244235495342731,10.322912418207931,0.3801527534772866
"Lincoln County, Minnesota",Lincoln County,Minnesota,-0.6991892738203046,0.31424581005586594,3.28122315753307,2.1999999999999957,1.327846777591887,0.6054058573371417,11.81466552664794,0.546069755335763
"Trumbull County, Ohio",Trumbull County,Ohio,-0.698583674980896,0.34916201117318435,2.8165282568064893,0.6000000000000014,2.0613180600635275,0.5239683982933778,3.8536991625410657,0.14116731796730164
"Bradford County, Pennsylvania",Bradford County,Pennsylvania,-0.6898568853599686,0.38407821229050276,3.7609982402815554,0.10000000000000142,2.025401655909917,0.2335137806000045,5.263331818745094,0.042347289984936864
"Menard County, Illinois",Menard County,Illinois,-0.6886351780126159,0.41899441340782123,2.9546531837573076,0.09999999999999432,1.4491718845077912,0.13424839497973862,21.43592992048542,1.757413537745066
"Vigo County, Indiana",Vigo County,Indiana,-0.6837275487980192,0.4539106145251397,1.763282346855834,0.5,1.827180167648109,0.38593624168083407,8.20643594414086,0.14837413899670437
"Big Horn County, Wyoming",Big Horn County,Wyoming,-0.68302764699292,0.4888268156424581,1.158366449649108,0.5,4.375456168314173,0.940782798027131,3.159139456820263,0.28590371383368485
"St. Landry Parish, Louisiana",St. Landry Parish,Louisiana,-0.6810575628846096,0.5237430167597765,1.1302952656912284,0.5999999999999943,2.3287493033489426,0.7381696656781345,11.09526055175666,0.25105120751434384
"Perry County, Missouri",Perry County,Missouri,-0.6806058932005806,0.5586592178770949,0.378111542905157,1.7999999999999972,1.976846453836714,0.46080198824704954,0.9949426373064121,0.4004310069443999
"Butler County, Missouri",Butler County,Missouri,-0.6781496321626944,0.5935754189944134,1.5759945992504132,0.7000000000000028,3.0636958051096457,0.771423939836076,10.6554203539823,1.8266046446106436
"Upshur County, West Virginia",Upshur County,West Virginia,-0.6777627414589246,0.6284916201117319,2.4992853350757542,0.7000000000000028,3.018830506709719,0.31276687683624016,6.730121465754824,3.0906743945593504
"Fremont County, Wyoming",Fremont County,Wyoming,-0.6758685310132324,0.6634078212290503,3.2818674979749134,0.7999999999999972,2.5733302678425076,1.474917726633361,3.9977584107905457,0.12610040132842748
