NAME,county_name,state_name,stability_index,stability_percentile,pop_change_abs,age_change_abs,white_change_abs,hispanic_change_abs,real_income_change_abs,poverty_change_abs
"Bastrop County, Texas",Bastrop County,Texas,1.5486553334417918,99.33659217877096,30.019284619855235,0.6000000000000014,23.09981091276663,7.337485529232005,30.146116668539953,3.95082273744363
"Jasper County, South Carolina",Jasper County,South Carolina,1.5549973357730105,99.37150837988827,13.063512787036327,7.300000000000004,1.4328426295912493,0.23363526514038746,39.92169519324886,5.629410710568472
"Nantucket County, Massachusetts",Nantucket County,Massachusetts,1.608891819751626,99.40642458100558,35.05857499519877,0.6000000000000014,9.128219682397244,7.842224886499491,36.69891019195876,4.259067977556163
"Juncos Municipio, Puerto Rico",Juncos Municipio,Puerto Rico,1.6091626945649087,99.4413407821229,8.330850958196804,4.700000000000003,43.316100885188305,0.11846269519342911,14.441103276648697,7.955882700558533
"Vieques Municipio, Puerto Rico",Vieques Municipio,Puerto Rico,1.6384372716245876,99.47625698324022,11.044808506021482,3.299999999999997,20.01622253581152,3.1625634676575913,26.14445239012047,12.515506347388666
"Telfair County, Georgia",Telfair County,Georgia,1.6667287757759828,99.51117318435753,23.488752804219974,0.7000000000000028,9.435414410982787,3.871656232713079,30.579971181556196,3.822275550456343
"Childress County, Texas",Childress County,Texas,1.6736359958842646,99.54608938547486,4.0333993772997445,0.5,11.711775376103944,14.781488277067261,4.838338605644797,4.594740301646002
"La Salle County, Texas",La Salle County,Texas,1.7551380395528373,99.58100558659217,1.5547703180212016,2.6000000000000014,26.97834452423652,3.0838290391888705,56.62710243573156,11.547618561041102
"Kaufman County, Texas",Kaufman County,Texas,1.7913354977112415,99.6159217877095,39.8192664233236,1,17.576293616387247,6.506995633542516,16.798516083893333,4.079613944044494
"Alexander County, Illinois",Alexander County,Illinois,1.8145805493262681,99.65083798882681,32.732387162766905,5.100000000000001,2.432455560199969,1.1019489221881313,38.32516179643067,15.348311192743804
"Osceola County, Florida",Osceola County,Florida,1.8665558651812275,99.68575418994413,36.032599870788985,0.8999999999999986,26.42867504234235,8.21814252040604,24.355906713654015,4.886477673262693
"Manassas Park city, Virginia",Manassas Park city,Virginia,1.913921192135701,99.72067039106145,14.214247598719318,2.8999999999999986,22.481948128959083,7.857880059343373,4.793084671930302,4.282130713887151
"Salinas Municipio, Puerto Rico",Salinas Municipio,Puerto Rico,1.9266673157079521,99.75558659217877,15.79361437094342,6.899999999999999,28.343646137646843,0.0884734898963444,25.072453319875997,7.747253819616802
"Greene County, Georgia",Greene County,Georgia,1.978621426306712,99.79050279329608,17.479925880172946,3.9000000000000057,1.5583122086630397,0.4210028259320673,67.3085286301039,13.041479449518318
"Tallahatchie County, Mississippi",Tallahatchie County,Mississippi,1.9817063627913738,99.82541899441341,16.54985453583708,2.6000000000000014,8.253502551267758,11.970398952841597,8.801004394224734,2.8471036478040475
"Bailey County, Texas",Bailey County,Texas,2.134392057028951,99.86033519553072,2.5691699604743086,3.900000000000002,7.862732117516487,8.520873253212969,46.333190414939736,8.138653815915305
"Garza County, Texas",Garza County,Texas,2.166204529762392,99.89525139664805,9.499763294934512,2.1999999999999957,15.265785875263248,7.84696071658967,6.386143616483761,3.3142220218758194
"Dallam County, Texas",Dallam County,Texas,2.189991207347274,99.93016759776536,2.9897944516314503,0,11.383816106536614,6.214877332905623,55.08575599075539,9.742907430337494
"Dimmit County, Texas",Dimmit County,Texas,2.2903446932203226,99.96508379888269,17.699534972003416,0.7999999999999972,49.217020623513626,2.0544500192083746,48.22758259045621,22.631165970255424
"Jefferson County, Mississippi",Jefferson County,Mississippi,2.3952002885058166,100,5.593397956510349,3.8999999999999986,0.601931308668954,8.46399333980852,14.344122657580925,16.13302299483578
