variable,std_dev
Real Income Change,10.745874515664667
White Change,5.8373539855788765
Pop Change,5.611116025813487
Housing Change,5.409780491114331
Poverty Change,2.5291926476270388
Unemployment Change,2.5134459551925743
Ownership Change,2.3686541892820445
College Change,1.5999307548206443
Hispanic Change,1.243045456724181
Black Change,1.2412573980028354
Age Change,1.2209828186964873
Foreign Change,1.00086419509288
Hs Change,0.5769998129157897
