GEOID,NAME,stability_index,stability_percentile,stability_category
36051,"Livingston County, New York",-0.3132735071638994,23.84776536312849,Very Stable (Top 25%)
28129,"Smith County, Mississippi",0.19697237285604563,73.70810055865921,Moderate Stability
01089,"Madison County, Alabama",-0.06540101453398317,52.44413407821229,Moderate Stability
18163,"Vanderburgh County, Indiana",-0.4358758476452681,10.26536312849162,Very Stable (Top 25%)
26053,"Gogebic County, Michigan",0.34253804589902737,82.15782122905027,Less Stable (Bottom 25%)
37157,"Rockingham County, North Carolina",-0.44429189443218287,9.741620111731844,Most Stable (Top 10%)
51520,"Bristol city, Virginia",0.03150791085686948,62.43016759776536,Moderate Stability
12117,"Seminole County, Florida",0.6098267027510531,91.23603351955308,Least Stable (Bottom 10%)
18045,"Fountain County, Indiana",-0.6143025630086927,1.291899441340782,Most Stable (Top 10%)
21167,"Mercer County, Kentucky",-0.014307592471743914,57.786312849162016,Moderate Stability
28019,"Choctaw County, Mississippi",0.2975931079851462,79.88826815642457,Less Stable (Bottom 25%)
29059,"Dallas County, Missouri",-0.33201084052709107,21.19413407821229,Very Stable (Top 25%)
48395,"Robertson County, Texas",0.2128564349208753,74.82541899441341,Moderate Stability
48221,"Hood County, Texas",0.24434106926763344,77.06005586592178,Less Stable (Bottom 25%)
56005,"Campbell County, Wyoming",-0.2430200891051251,32.157821229050285,Moderate Stability
31093,"Howard County, Nebraska",-0.20636584905705144,35.9986033519553,Moderate Stability
36037,"Genesee County, New York",-0.5078074381475564,5.307262569832402,Most Stable (Top 10%)
38037,NA,NA,NA,Insufficient Data
47169,"Trousdale County, Tennessee",1.2737111916566557,98.6731843575419,Least Stable (Bottom 10%)
49053,"Washington County, Utah",1.0084476731428293,97.48603351955308,Least Stable (Bottom 10%)
01075,"Lamar County, Alabama",-0.21236533341808622,35.47486033519553,Moderate Stability
24047,"Worcester County, Maryland",-0.31703990077679933,23.25418994413408,Very Stable (Top 25%)
40053,NA,NA,NA,Insufficient Data
46033,"Custer County, South Dakota",0.14046612730499636,70.4608938547486,Moderate Stability
08001,"Adams County, Colorado",0.7337497751350747,94.09916201117319,Least Stable (Bottom 10%)
13003,"Atkinson County, Georgia",-0.16240062689330068,40.537709497206706,Moderate Stability
18145,"Shelby County, Indiana",-0.43989647796000464,10.125698324022347,Very Stable (Top 25%)
19141,"O'Brien County, Iowa",-0.39090617320366383,15.118715083798884,Very Stable (Top 25%)
27161,"Waseca County, Minnesota",-0.250965681879434,31.28491620111732,Moderate Stability
29063,"DeKalb County, Missouri",-0.11768665279544219,46.229050279329606,Moderate Stability
48437,"Swisher County, Texas",0.705039774313269,93.47067039106145,Least Stable (Bottom 10%)
53063,"Spokane County, Washington",-0.0757616729484733,51.29189944134078,Moderate Stability
13023,"Bleckley County, Georgia",0.5523331831945886,89.80446927374301,Less Stable (Bottom 25%)
29123,"Madison County, Missouri",0.28019518030765833,78.87569832402235,Less Stable (Bottom 25%)
