GEOID,NAME,stability_index,stability_percentile
20067,"Grant County, Kansas",1.089685320610576,97.97486033519553
25019,"Nantucket County, Massachusetts",1.608891819751626,99.40642458100558
28111,"Perry County, Mississippi",1.023896277873508,97.59078212290503
48209,"Hays County, Texas",1.301957121914474,98.77793296089385
48369,"Parmer County, Texas",0.9417666400594509,96.7877094972067
48329,"Midland County, Texas",1.0395419263726198,97.69553072625699
13123,"Gilmer County, Georgia",0.9513658621800646,96.82262569832403
13201,"Miller County, Georgia",0.6025617041794208,90.92178770949721
12117,"Seminole County, Florida",0.6098267027510531,91.23603351955308
47169,"Trousdale County, Tennessee",1.2737111916566557,98.6731843575419
49053,"Washington County, Utah",1.0084476731428293,97.48603351955308
08001,"Adams County, Colorado",0.7337497751350747,94.09916201117319
48437,"Swisher County, Texas",0.705039774313269,93.47067039106145
48063,"Camp County, Texas",0.8469305386110216,95.60055865921788
48069,"Castro County, Texas",0.8851216534268038,96.12430167597765
51595,"Emporia city, Virginia",0.9229761971223529,96.61312849162012
48075,"Childress County, Texas",1.6736359958842646,99.54608938547486
48017,"Bailey County, Texas",2.134392057028951,99.86033519553072
48177,"Gonzales County, Texas",0.8535160393836226,95.74022346368714
48507,"Zavala County, Texas",1.426494508042792,99.09217877094973
13085,"Dawson County, Georgia",0.9578302930116872,96.89245810055866
48281,"Lampasas County, Texas",0.5738686667249512,90.11871508379889
16065,"Madison County, Idaho",1.1315466546570314,98.18435754189943
12049,"Hardee County, Florida",0.6378271144717794,91.79469273743017
51640,"Galax city, Virginia",0.7206984334190254,93.85474860335195
37061,"Duplin County, North Carolina",0.8043881146670663,95.04189944134079
13211,"Morgan County, Georgia",0.6033464228528775,90.99162011173185
48259,"Kendall County, Texas",0.8019565557589595,94.93715083798882
13053,"Chattahoochee County, Georgia",0.873826143658181,96.0195530726257
51179,"Stafford County, Virginia",0.745512467912328,94.3086592178771
13177,"Lee County, Georgia",0.6684213026620314,92.73743016759776
12119,"Sumter County, Florida",0.9051343896765403,96.36871508379889
48071,"Chambers County, Texas",0.900883471578215,96.29888268156425
13191,"McIntosh County, Georgia",0.7125663580428243,93.64525139664805
13157,"Jackson County, Georgia",0.9996315106188625,97.3463687150838
08003,"Alamosa County, Colorado",0.8897456620557638,96.15921787709497
28051,"Holmes County, Mississippi",0.5855371257910011,90.46787709497207
13173,"Lanier County, Georgia",0.6505693026777712,92.17877094972067
48153,"Floyd County, Texas",0.6573558888909583,92.35335195530726
