region,n_counties,avg_seasonal_housing,avg_seasonal_employment,avg_composite_score,pct_vacation_counties
West,404,9.695698925507072,33.34902433420031,56.701496284867005,7.425742574257425
Northeast,217,10.683787720913479,26.05841262500796,53.019194710977175,10.138248847926267
Other,75,5.574702465504575,30.513683201370394,52.83429962625242,1.3333333333333335
South,1366,5.290263162312156,28.619998878133835,49.32828051161374,0.8784773060029283
Midwest,1017,6.397667391493266,29.451530284593435,48.31014796314983,4.916420845624385
